plant_id,commodity_type,diameter_cm,wet_date,measure_date,irregular,position
3217,LTC,20,2021-04-01,2021-04-01,false,"(-121.60512326370882, 36.669780462631365)"
1755,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053132198629, 36.66969063847709)"
2599,LTC,20,2021-04-01,2021-04-01,false,"(-121.60531775872656, 36.669634342446635)"
2601,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532002416933, 36.66963697419977)"
2670,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527609728341, 36.66966297314082)"
1536,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518212878873, 36.669768793065145)"
2851,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051459445027, 36.66973266945688)"
2852,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514774195856, 36.669728200294955)"
82,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556064052854, 36.669507862132306)"
2313,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549769821854, 36.66953245515771)"
2320,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549977548183, 36.66953569528668)"
3188,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510770433677, 36.66979129276834)"
3196,LTC,20,2021-04-01,2021-04-01,false,"(-121.60510758506062, 36.66979062127032)"
1620,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052542628513, 36.669726237067316)"
2775,LTC,20,2021-04-01,2021-04-01,false,"(-121.60519818206896, 36.66969842746342)"
2569,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533289441005, 36.669625199408095)"
1825,LTC,20,2021-04-01,2021-04-01,false,"(-121.60535860169098, 36.669660126809)"
1832,LTC,20,2021-04-01,2021-04-01,false,"(-121.60536060648292, 36.66965931306325)"
2692,LTC,20,2021-04-01,2021-04-01,false,"(-121.60526007766956, 36.66967172809455)"
84,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555902429797, 36.669508592001996)"
85,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555397519511, 36.6695087688798)"
580,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549522524258, 36.669575297384526)"
795,LTC,20,2021-04-01,2021-04-01,false,"(-121.60535595800785, 36.66966084141766)"
1686,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527445452003, 36.669712766546965)"
2570,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533421993458, 36.66962804177499)"
86,LTC,20,2021-04-01,2021-04-01,false,"(-121.605555837854, 36.66950693196575)"
2946,LTC,20,2021-04-01,2021-04-01,false,"(-121.60507646506085, 36.66977084608811)"
2897,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051131111283, 36.669749213454956)"
2423,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542733396959, 36.66957681556681)"
2424,LTC,20,2021-04-01,2021-04-01,false,"(-121.60542529095709, 36.669574126467346)"
1631,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525155559544, 36.66972373415904)"
429,LTC,20,2021-04-01,2021-04-01,false,"(-121.60558137678065, 36.66953056558386)"
1872,LTC,20,2021-04-01,2021-04-01,false,"(-121.60539350168958, 36.669645246864874)"
3110,LTC,20,2021-04-01,2021-04-01,false,"(-121.60505672183702, 36.669813895340106)"
607,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548117180193, 36.66958973742619)"
1042,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514059150132, 36.66974636771981)"
2730,LTC,20,2021-04-01,2021-04-01,false,"(-121.60523580985928, 36.6696873697362)"
4376,LTC,20,2021-04-01,2021-04-01,false,"(-121.60541050836717, 36.66976421859863)"
2372,LTC,20,2021-04-01,2021-04-01,false,"(-121.60545974034201, 36.66955444506954)"
88,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555235968901, 36.669511948888534)"
90,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555680870635, 36.669509937991386)"
2596,LTC,20,2021-04-01,2021-04-01,false,"(-121.60531715308878, 36.669638619226205)"
1778,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533352541853, 36.66967976187744)"
748,LTC,20,2021-04-01,2021-04-01,false,"(-121.60538988566095, 36.66963770972522)"
1849,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537307492055, 36.66965575308986)"
1850,LTC,20,2021-04-01,2021-04-01,false,"(-121.60537523612884, 36.669651599850965)"
1538,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518479489255, 36.66976458121838)"
1541,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517927600527, 36.6697666004662)"
1623,LTC,20,2021-04-01,2021-04-01,false,"(-121.6052558464997, 36.66972108481782)"
610,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548173681988, 36.669589536436625)"
613,LTC,20,2021-04-01,2021-04-01,false,"(-121.60547939159338, 36.669587248889684)"
2800,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517785471268, 36.6697130992869)"
2677,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527504951082, 36.66966427045962)"
1779,LTC,20,2021-04-01,2021-04-01,false,"(-121.60532817082695, 36.66967879833598)"
87,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555346597991, 36.66951152466852)"
3242,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051417502691, 36.6697740025515)"
2876,LTC,20,2021-04-01,2021-04-01,false,"(-121.60512880643222, 36.66974019914419)"
3243,LTC,20,2021-04-01,2021-04-01,false,"(-121.60513934592754, 36.669771328663714)"
459,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557602334197, 36.66953277884972)"
427,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557872224581, 36.669531993218065)"
93,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555461452705, 36.669510936358584)"
2598,LTC,20,2021-04-01,2021-04-01,false,"(-121.60531626623856, 36.66963567728733)"
1624,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525414963021, 36.66972630065649)"
1625,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525382439786, 36.66972288283605)"
1658,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525964438519, 36.66972305157673)"
1047,LTC,20,2021-04-01,2021-04-01,false,"(-121.6051451978159, 36.66974704863523)"
1049,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514621504568, 36.66974641755595)"
1545,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517946972483, 36.66976728382823)"
1802,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534418037517, 36.66967261483493)"
1803,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534235153658, 36.66966982491699)"
1873,LTC,20,2021-04-01,2021-04-01,false,"(-121.60539229392413, 36.66964918782799)"
2671,LTC,20,2021-04-01,2021-04-01,false,"(-121.60527028618397, 36.669666129667846)"
